0,1
,
Č,
kompanija,kompànija
za,
dostavu,dȍstava
hrane,hrána
oor,oor
ash,ash
objavila,
je,
da,
će,
kupiti,
finski,
olt,olt
kako,
bi,
proširila,
poslovanje,poslovánje
na,
uropu,ur
u,
razdoblju,rázdōblje
normalizacije,normalizácija
potražnje,potrážnja
nakon,
pandemijskog,pandemij
buma,bu
otražnja,otraž
uslugama,ȕsluga
dostave,
snažno,
ojačala,
pandemiji,pandèmija
covida-,cov
ali,
se,
trebala,
stabilizirati,
sljedećih,
mjeseci,mjȅsec
pripremajući teren,priprema
konsolidaciju,konsolidácija
sektoru,sȅktor
koji,
teško,
dolazi,
do,
dobiti,
ističe,
euters,eut
ransakcija,ransa
od,
sedam,
milijardi,milìjārda
eura,èuro
merički,mer
oordash,oor
dogovorio,
kupnju,kúpnja
olta,ol
transakciji,transàkcija
vrijednoj,
nudeći,nȕžda
dioničarima,diòničār
finske,Fȋnskā
tvrtke,tvȑtka
vlastite,
dionice,diònīk
rijednost,rijed
ashovih,ash
dionica,diònica
koje,
biti,
izdane,
sklopu,sklȍp
