0,1
,
AMERIČKA,
kompanija,kompànija
za,
dostavu,dȍstava
hrane,hrána
DoorDash,DoorD
objavila,objáviti
je,
da,
će,
kupiti,kúpiti
finski,
Wolt,Wo
kako,
bi,
proširila,prošíriti
poslovanje,poslovánje
na,
Europu,Európa
u,
razdoblju,rázdōblje
normalizacije,normalizácija
potražnje,potrážnja
nakon,
pandemijskog,pandemij
buma,bu
Potražnja,potrážnja
uslugama,ȕsluga
dostave,dòstaviti
snažno,
ojačala,ojàčati
pandemiji,pandèmija
covida-19,covid
ali,
se,
trebala,trȅbati
stabilizirati,stabilizírati
sljedećih,
mjeseci,mjȅsec
pripremajući teren,priprema
konsolidaciju,konsolidácija
sektoru,sȅktor
koji,
teško,
dolazi,dòlaziti
do,
dobiti,dòbiti
ističe,ìsticati
Reuters,Reu
Transakcija,transàkcija
od,
sedam,
milijardi,milìjārda
eura,èuro
Američki,
Doordash,Doord
dogovorio,dogovòriti se
kupnju,kúpnja
Wolta,Wo
transakciji,transàkcija
vrijednoj,
nudeći,nȕžda
dioničarima,diòničār
finske,Fȋnskā
tvrtke,tvȑtka
vlastite,
dionice,diònīk
Vrijednost,vrijédnōst
DoorDashovih,DoorDash
dionica,diònica
koje,
biti,bȉti1
izdane,ìzdati1
sklopu,sklȍp
transakcije,transàkcija
iznosit,iznòsiti
206,206
45,45
dolara,dȍlār
po,Pȃd
dionici,diònīk
objavile,objáviti
su,sȕ
dvije,dvȉje
kompanije,kompànija
tom,
transakcijom,transàkcija
proširiti,prošíriti
22,22
europska,
tržišta,tȑžīšte
uključujući,uključívati
Njemačku,Njèmačkā
Dansku,Dȃnskā
Švedsku,Švȅdskā
Hrvatsku,Hẕvātskā
i,
Srbiju,Sẕbija
počeo,pòčēti
poslovati,poslòvati
2015,20
godine,gȍdina
Helsinkiju,
međuvremenu,međuvrijéme
proširio,prošíriti
Europi,Európa
Aziji,Ȃzija
ima,némati
više,
30,30
tisuća,tìsuća
partnera,pȁrtner
među,
restoranima,restòrān
maloprodajnim,
tvrtkama,tvȑtka
navodi,návod
ima 2,im
5,5
milijuna,
mjesečno,
aktivnih,
korisnika,kòrisnīk
Finska,Fȋnskā
kraja,krȃj
rujna,
imala,némati
2,2
a,
kraju,krȃj
trećeg,
tromjesečja,tròmjesēčje
imao,némati
devet,
pretplatnika,prètplatnīk
usluge,ȕsluga
"""Udruživanje","""Udruživ"
snaga,snága
s,
Woltom,Wol
omogućit,omogúćiti
nam,nȃm
brže,
rastemo,rȃsti
međunarodnoj,
razini,ràzina
istodobno,
pojačamo,pojàčati
naš,
fokus,fókus
"SAD""",SA
istaknuo,istàknuti
priopćenju,priopćénje
objavljenom,objavlje
utorak,útorak
šef,šȅf1
američke,
Tony,
Xu,Xu
Gotovo,
trećine,trećìna
bruto,
vrijednosti,vrijédnōst
Woltovih,Wolto
