0,1
,
Č,
kompanija,kompànija
za,
dostavu,dȍstava
hrane,hrána
oor,oor
ash,ash
objavila,
je,
da,
će,
kupiti,
finski,
olt,olt
kako,
bi,
proširila,
poslovanje,poslovánje
na,
uropu,ur
u,
razdoblju,rázdōblje
normalizacije,normalizácija
potražnje,potrážnja
nakon,
pandemijskog,pandemij
buma,bu
otražnja,otraž
uslugama,ȕsluga
dostave,
snažno,
ojačala,
pandemiji,pandèmija
covida-,cov
ali,
se,
trebala,
stabilizirati,
sljedećih,
mjeseci,mjȅsec
pripremajući teren,priprema
konsolidaciju,konsolidácija
sektoru,sȅktor
koji,
teško,
dolazi,
do,
dobiti,
ističe,
euters,eut
ransakcija,ransa
od,
sedam,
milijardi,milìjārda
eura,èuro
merički,mer
oordash,oor
dogovorio,
kupnju,kúpnja
olta,ol
transakciji,transàkcija
vrijednoj,
nudeći,nȕžda
dioničarima,diòničār
finske,Fȋnskā
tvrtke,tvȑtka
vlastite,
dionice,diònīk
rijednost,rijed
ashovih,ash
dionica,diònica
koje,
biti,
izdane,
sklopu,sklȍp
Ć,
vrhuncu,vrhúnac
karijere,karijéra
bio,
jedna,
najvećih,
nada,
svijetu,svijȇt
tenisa,ténis
svojio,svo
broncu,brȏnca
limpijskim,limpi
igrama,ìgra
i,
avis,av
cup,ćȕp
a,
godine,gȍdina
sedmi,
igrač,ìgrāč
svijeta,svijȇt
pak,
profesionalna,
teniska,
karijera,karijéra
propala,
mu,
zbog,
teške,
bolesti,bȍlēst
razgovoru,rȁzgovōr
-ovu,-o
emisiju,emìsija
svojem,
filmu opisao,filmu op
najteže,
trenutke,trenútak
životu,žìvot
Život,žìvot
vam,
podijeli,
karte,kàrtōn
o,
sam,
podnio,
kao,
sportaš,spòrtāš
nčić,nč
posljednjih,
godina,gȏd
živi,žȉva
radi,
-u,-u
to,
all,all
treetu,tre
rvatskoj,rvats
završio,
ravni,
fakultet,fakùltēt
olumbusu,olumb
doktorirao,
 , 
glavnoj,
rumunjskoj,Rùmūnjskā
bolnici,bólnica
više,
nema,
mjesta,mjȅsto  (I)
mrtve,
tijela,tijȇlo
zamotana,
crne,
vreće,vrȅća
nižu,
hodniku bolnice,hodniku 
ukureštu,ukure
piše,
totine,tot
ljudi,
umiru,
svaki,
dan,
posljednja,
dva,
mjeseca,mjȅsec
umunjskoj,umunj
koja,
bila,
među,
pogođenim,pogođ
zemljama,zèmlja
ovom,ov
valu,vȁla
virusa,vírus
osebno,ose
pogođena,
istočna,
uropa,ur
kojoj,
cijepljeno,
mnogo,
manje,
nego,
zapadu,zȃpad
urope,ur
ake,ake
aul,àvlija
prosinca,pròsinac1
boksat,
protiv,
ommyja,omm
uryja,ur
brata,brȁt
puno,
poznatijeg,
svjetskog,
prvaka,pẕvāk
ysona,ys
jednoj,
predborbi,predb
sučelit,
bivše,
superzvijezde,superzvi
lige,líga
-a,-a
eron,er
illiams,ill
rank,ra
ore,
rostruki,rostr
ll-,ll-
tar,Tȃr
dvostruki,
olimpijski,
prvak,pẕvāk
napad,nápad
ikole,ik
okića,ȍko1
arkieffa,arkie
orrisa,orr
igrača,
iami,ia
eata,ea
nevjerojatno,
eskalirao,
rvo,rvo
orris,or
napravio,
nesportski,nespo
prekršaj,prȅkršāj
srpskom,
centru,cȅntar
ovaj,
divljački,
uzvratio,
leđa,
žestoko,
nasrnuo,
udario,
ga,
cijelim,
tijelom,tijȇlo
te,tȇ
doslovno,
složio,
parket,pàrkēt
gdje,
previjao,
dulje,
vremena,vrijéme
isam,is
trebao,
ovako,
reagirati,
sjećam,
loše,
toga,tóga
dobio,
udarac,ùdarac
ranije,
orao,òrao
zaštititi,
branio,
okić,ȍko1
kasnije,
ikola,ik
okic,ȍko1
clobbers,clobb
arkieff,ark
from,fr
behind,beh
late,
in,
the,
fourth,fou
quarter,qua
and,and
things,thi
get,get
intense,int
pic,pȉc
twitter,twi
com,
clknq,cl
